Skills set,Course categories ,Order ,Course Name,Lessons ,Projects,Quizzes ,Total Times ,Course Description 
,Foundation skills,,Foundation skills 4,,,,15h,"for ages 12-13 bridges the world of coding and creativity. Dive into HTML/CSS design, master foundational algorithms, explore the intricacies of JavaScript and Python, and unravel the mysteries of data representation. Craft, code, and conquer challenges in this dynamic tech course!"
,,,,,,,,
,,,Modules :,,,,,
,,1,HTML/CSS 101,1 hr,-,-,1 hr,"Starting to learn HTML and CSS is easy and fun with this digital postcard. Learn about adding headings, paragraphs, images, and links to create a holiday card or birthday celebration to share with friends and family."
,,2,Algorithms 0,3 hrs,-,15 mins,3 hrs 15 mins,"Algorithms are the steps we use to solve problems, so they are a really important part of programming and computer science. In this course you'll learn about what algorithms are, how to create them, different types of algorithms, and how to determine the best algorithm to use for particular problem."
,,3,JavaScript 0,2 hrs,2 hrs ,-,4 hrs,"Want to build your own apps and games? Start here! With Code Avengers' comprehensive JavaScript courses you'll learn one of the most widely used languages, and build lots of fun apps and games along the way."
,,4,Data Representation 400,1 hr,-,-,1 hr,"Join Tyrell and Marlee as they learn about binary numbers, light, color and more while trying to escape from Professor Photon's Color Conundrum"
,,5,Python 100,1 hr,-,-,1 hr,"Python is an engaging and simple language to learn. Learn about using modules, functions, loops, and lists, all while creating fun images with the help of your turtle buddies. Geometry has never been so much fun!"
,,6,Python 0,2 hrs,2 hrs ,-,4 hrs,"Use a range of Python skills such as input, output, variables, if statements, turtles and loops to build a basic program."
,,,,,,,,
,Foundation skills,,Foundation skills 5,,,,13h,"for ages 13-14 unveils the digital world's intricacies. Journey with Juno, Max, and others, diving into networks, mastering advanced programming, exploring future tech impacts, and crafting dynamic web applications using JavaScript and jQuery. Unlock the digital realm's potential in this engaging course!"
,,,,,,,,
,,,Modules :,,,,,
